gameId|platformId|lastUpdate
1707|7|E'2020-11-29 19:18:57'
1707|6|E'2020-11-29 19:18:57'
1708|11|E'2020-11-29 19:18:57'
1708|2|E'2020-11-29 19:18:57'
1708|1|E'2020-11-29 19:18:57'
1708|5|E'2020-11-29 19:18:57'
1708|8|E'2020-11-29 19:18:57'
1708|7|E'2020-11-29 19:18:57'
1708|3|E'2020-11-29 19:18:57'
1708|9|E'2020-11-29 19:18:57'
1708|6|E'2020-11-29 19:18:57'
1709|7|E'2020-11-29 19:18:57'
1709|8|E'2020-11-29 19:18:57'
1710|4|E'2020-11-29 19:18:57'
1710|7|E'2020-11-29 19:18:57'
1710|3|E'2020-11-29 19:18:57'
1711|11|E'2020-11-29 19:18:57'
1711|1|E'2020-11-29 19:18:57'
1711|4|E'2020-11-29 19:18:57'
1711|7|E'2020-11-29 19:18:57'
1711|9|E'2020-11-29 19:18:57'
1711|8|E'2020-11-29 19:18:57'
1712|4|E'2020-11-29 19:18:57'
1712|7|E'2020-11-29 19:18:57'
1712|3|E'2020-11-29 19:18:57'
1713|11|E'2020-11-29 19:18:57'
1713|4|E'2020-11-29 19:18:57'
1713|5|E'2020-11-29 19:18:57'
1713|7|E'2020-11-29 19:18:57'
1713|3|E'2020-11-29 19:18:57'
1713|6|E'2020-11-29 19:18:57'
1714|7|E'2020-11-29 19:18:57'
1715|5|E'2020-11-29 19:18:57'
1715|13|E'2020-11-29 19:18:57'
1715|7|E'2020-11-29 19:18:57'
1715|3|E'2020-11-29 19:18:57'
1715|6|E'2020-11-29 19:18:57'
1716|5|E'2020-11-29 19:18:57'
1716|7|E'2020-11-29 19:18:57'
1716|3|E'2020-11-29 19:18:57'
1716|6|E'2020-11-29 19:18:57'
1717|12|E'2020-11-29 19:18:57'
1717|5|E'2020-11-29 19:18:57'
1717|7|E'2020-11-29 19:18:57'
1717|3|E'2020-11-29 19:18:57'
1717|6|E'2020-11-29 19:18:57'
1718|7|E'2020-11-29 19:18:57'
1719|4|E'2020-11-29 19:18:57'
1719|5|E'2020-11-29 19:18:57'
1719|7|E'2020-11-29 19:18:57'
1719|3|E'2020-11-29 19:18:57'
1720|7|E'2020-11-29 19:18:57'
1721|1|E'2020-11-29 19:18:57'
1721|5|E'2020-11-29 19:18:57'
1721|7|E'2020-11-29 19:18:57'
1721|3|E'2020-11-29 19:18:57'
1722|5|E'2020-11-29 19:18:57'
1722|7|E'2020-11-29 19:18:57'
1722|3|E'2020-11-29 19:18:57'
1722|6|E'2020-11-29 19:18:57'
1723|5|E'2020-11-29 19:18:57'
1723|7|E'2020-11-29 19:18:57'
1723|3|E'2020-11-29 19:18:57'
1724|5|E'2020-11-29 19:18:57'
1724|7|E'2020-11-29 19:18:57'
1724|3|E'2020-11-29 19:18:57'
1724|6|E'2020-11-29 19:18:57'
1725|5|E'2020-11-29 19:18:57'
1725|7|E'2020-11-29 19:18:57'
1725|3|E'2020-11-29 19:18:57'
1725|6|E'2020-11-29 19:18:57'
1726|4|E'2020-11-29 19:18:57'
1726|7|E'2020-11-29 19:18:57'
1726|3|E'2020-11-29 19:18:57'
